iteration,duration,loss,accuracy,start,game,winner
51,91.149,0.9469965781977027,0.3823652160716318,[5, 5],52233004488447711227766661188333377000066225511550077774444226677332288003366334411117722116600524811320088622,2
52,72.634,1.1665228781185475,0.38509693819478696,[5, 6],644883377220033110088115577662233228844440077116655446688552244112222666633447700442211117777345,1
53,88.779,0.9374073580041627,0.3823652160716318,[5, 7],711886644226611008833004455223377881166773322440011558855114488772288225533338888007755556600221055484,2
54,92.375,1.2070833108063799,0.3823652160716318,[5, 8],82244440077113333006688556611772277005544228844664488660011110044115555336655000033551166331184338200262,1
55,94.97,0.8687742329057759,0.3823652160716318,[6, 0],07777224455333311220066888844441100558822661177003355554433665500113300008833887711118866222233221166776645663377334277528,2
56,105.414,1.2757934155651185,0.3823652160716318,[6, 1],10055887722447733336600881144225500112266557777883344556622337711338866888800770033552433111188266677664463002000448855553400644,1
57,78.98,0.8676732192955,0.3823652160716318,[6, 2],288557700221100337766444488115533441188220066887733550044223311661144558866775566665522660088007788324,2
58,116.348,1.2792040198699663,0.3823652160716318,[6, 3],3885577001188221133772244556644005588114433220044776688006677884488662288887744661177333366555533551166008833115500002222334422666525475123011107177,-1
60,71.921,0.9352297307000287,0.3823652160716318,[6, 5],5228833227711443300558800664477221166003377556611334488557700882233338844662222663311220022536,2
62,97.758,1.2068262612369964,0.3823652160716318,[6, 7],777221188003366448855441155002233556611337744008822883311220011110000771166222277881144446655226633334477553300668877066,1
63,83.052,1.1187324553449667,0.4971544561217134,[6, 8],855117733332222004477660088115544558822114400771133884488003300225522778866224466777700666655000355775377436,1
65,82.125,1.0283273310184664,0.5639867966764047,[7, 1],1335544008866334422228877556611880077221100443366557788338811116622446600114411551122332255885844820,1
66,87.183,0.8747222843127312,0.5639867966764047,[7, 2],2550011440033446655883366778811224488663355447733117777668800887744118888444433771100220044221166006622228822638,1
67,90.688,0.7556842779090065,0.5639867966764047,[7, 3],30066224411005511333366558888227744228855664400771188770000884444337722221177886688115577552202663344555544666611467,1
68,95.778,1.3235496155681215,0.5639867966764047,[7, 4],4001188661100335522772255336644557733882288004466770077771111330022223311555500005511444422448844337765620267558415478,2
69,86.498,0.7393928606643116,0.5639867966764047,[7, 5],522881133774433008866442211550066773333448844000011114466226655661122441100335544555588553388718888225512027,1
